,Date,State_abb,State,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,Free Treatment,Early RX Refills,SEP,Waiver 1135,Paid Sick Leave,stay_at_home,non_essential_business_closure,large_gathering_ban,school_closure,bar_restaurant_limits,primary_election_postponed,emergency_declaration,adult_under_60,adult_over_60,risk_under_60,risk_over_60,hospital_beds,beds_per_thousand,total_chc,total_chc_delivery_sites
0,2020-02-26,Unassigned Location,Unassigned Location,Unassigned Location,US,2020-02-26 20:03:06,42.0,0.0,0.0,,,0,0,0,0,0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,,,,,,,,
1,2020-02-09,IL,Illinois,"Chicago, IL",US,2020-02-09 19:03:03,2.0,0.0,2.0,,,0,0,0,0,0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,"7,044,811","2,865,849","1,064,160","2,865,850","32,066",2.52,44.0,402
2,2020-02-03,CA,California,"San Benito, CA",US,2020-02-03 03:53:02,2.0,0.0,0.0,,,0,0,0,0,1,0.0,0.0,999.0,0.0,0.0,0.0,0.0,"22,523,811","8,282,499","3,122,640","8,282,500","72,511",1.84,177.0,"1,740"
3,2020-02-21,CA,California,"San Diego County, CA",US,2020-02-21 05:43:02,2.0,0.0,1.0,,,0,0,1,0,1,0.0,0.0,999.0,0.0,0.0,0.0,0.0,"22,523,811","8,282,499","3,122,640","8,282,500","72,511",1.84,177.0,"1,740"
4,2020-02-21,CA,California,"Santa Clara, CA",US,2020-02-21 05:23:04,2.0,0.0,1.0,,,0,0,1,0,1,0.0,0.0,999.0,0.0,0.0,0.0,0.0,"22,523,811","8,282,499","3,122,640","8,282,500","72,511",1.84,177.0,"1,740"
5,2020-02-01,MA,Massachusetts,"Boston, MA",US,2020-02-01 19:43:03,1.0,0.0,0.0,,,0,0,0,0,1,0.0,0.0,999.0,0.0,0.0,0.0,0.0,3872650,1667210,493230,1667200,15649,2.27,39.0,276
6,2020-02-21,CA,California,"Humboldt County, CA",US,2020-02-21 05:13:09,1.0,0.0,0.0,,,0,0,1,0,1,0.0,0.0,999.0,0.0,0.0,0.0,0.0,"22,523,811","8,282,499","3,122,640","8,282,500","72,511",1.84,177.0,"1,740"
7,2020-02-01,CA,California,"Los Angeles, CA",US,2020-02-01 19:53:03,1.0,0.0,0.0,,,0,0,0,0,1,0.0,0.0,999.0,0.0,0.0,0.0,0.0,"22,523,811","8,282,499","3,122,640","8,282,500","72,511",1.84,177.0,"1,740"
8,2020-02-05,WI,Wisconsin,"Madison, WI",US,2020-02-05 21:53:02,1.0,0.0,0.0,,,0,0,0,0,0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,"3,143,755","1,401,735","402,490","1,401,730","12,103",2.08,17.0,143
9,2020-02-01,CA,California,"Orange, CA",US,2020-02-01 19:53:03,1.0,0.0,0.0,,,0,0,0,0,1,0.0,0.0,999.0,0.0,0.0,0.0,0.0,"22,523,811","8,282,499","3,122,640","8,282,500","72,511",1.84,177.0,"1,740"
