"","State","Date","State_abb","Last.Update","Confirmed","Deaths","Recovered","Latitude","Longitude","Free.Treatment","Early.RX.Refills","SEP","Waiver.1135","Paid.Sick.Leave","stay_at_home","non_essential_business_closure","large_gathering_ban","school_closure","bar_restaurant_limits","primary_election_postponed","emergency_declaration","adult_under_60","adult_over_60","risk_under_60","risk_over_60","hospital_beds","beds_per_thousand","total_chc","total_chc_delivery_sites"
"1","Alabama",2020-03-10,"AL","2020-03-11 20:00:00",5,0,0,"32.3182","-86.9023","0","0","0","0","0","0","0","999","0","0","0","0",18,5,37,5,15,3.13,15,8
"2","Alabama",2020-03-11,"AL","2020-03-11 20:00:00",5,0,0,"32.3182","-86.9023","0","0","0","0","0","0","0","999","0","0","0","0",18,5,37,5,15,3.13,15,8
"3","Alabama",2020-03-12,"AL","2020-03-14 16:53:03",6,0,0,"32.3182","-86.9023","0","0","0","0","0","0","0","999","0","0","0","1",18,5,37,5,15,3.13,15,8
"4","Alabama",2020-03-13,"AL","2020-03-14 16:53:03",6,0,0,"32.3182","-86.9023","0","0","0","0","0","0","0","999","0","0","0","1",18,5,37,5,15,3.13,15,8
"5","Alabama",2020-03-14,"AL","2020-03-14 16:53:03",6,0,0,"32.3182","-86.9023","0","0","0","0","0","0","0","999","0","0","0","1",18,5,37,5,15,3.13,15,8
"6","Alabama",2020-03-15,"AL","2020-03-15 18:20:19",12,0,0,"32.3182","-86.9023","0","0","0","0","0","0","0","999","0","0","0","1",18,5,37,5,15,3.13,15,8
"7","Alabama",2020-03-16,"AL","2020-03-16 22:33:03",29,0,0,"32.3182","-86.9023","0","0","0","0","0","0","0","999","0","0","0","1",18,5,37,5,15,3.13,15,8
"8","Alabama",2020-03-17,"AL","2020-03-17 23:13:10",39,0,0,"32.3182","-86.9023","0","0","0","0","0","0","0","25","1","1","0","1",18,5,37,5,15,3.13,15,8
"9","Alabama",2020-03-18,"AL","2020-03-18 19:33:03",46,0,0,"32.3182","-86.9023","0","0","0","0","0","0","0","25","1","1","1","1",18,5,37,5,15,3.13,15,8
"10","Alabama",2020-03-19,"AL","2020-03-19 23:43:04",78,0,0,"32.3182","-86.9023","0","0","0","0","0","0","0","25","1","1","1","1",18,5,37,5,15,3.13,15,8
