"","ï..date","state","stay_at_home","non_essential_business_closure","large_gathering_ban","school_closure","bar_restaurant_limits","primary_election_postponed","emergency_declaration","adult_under_60","adult_over_60","risk_under_60","risk_over_60","hospital_beds","beds_per_thousand","total_chc","total_chc_delivery_sites"
"1","22-Jan","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"2","23-Jan","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"3","24-Jan","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"4","25-Jan","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"5","26-Jan","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"6","27-Jan","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"7","28-Jan","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"8","29-Jan","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"9","30-Jan","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"10","31-Jan","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"11","1-Feb","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"12","2-Feb","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"13","3-Feb","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"14","4-Feb","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"15","5-Feb","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"16","6-Feb","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"17","7-Feb","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"18","8-Feb","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"19","9-Feb","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"20","10-Feb","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"21","11-Feb","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"22","12-Feb","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"23","13-Feb","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"24","14-Feb","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"25","15-Feb","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"26","16-Feb","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"27","17-Feb","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"28","18-Feb","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"29","19-Feb","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"30","20-Feb","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"31","21-Feb","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"32","22-Feb","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"33","23-Feb","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"34","24-Feb","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"35","25-Feb","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"36","26-Feb","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"37","27-Feb","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"38","28-Feb","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"39","29-Feb","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"40","1-Mar","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"41","2-Mar","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"42","3-Mar","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"43","4-Mar","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"44","5-Mar","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"45","6-Mar","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"46","7-Mar","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"47","8-Mar","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"48","9-Mar","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
"49","10-Mar","Alabama","0","0",999,"0","0","0","0","2,620,083","1,190,177","566,450","1,190,180","15,278","3.13","15","144"
